
 ### Operon: 1

	 BAG05582.1	[0, 66, 65, 75, 80, 64, 0, 0, 63]

 ### Operon: 2

	 WP_104397532.1	[0, 66, 65, 75, 80, 64, 10000, 63, 0]

 ### Operon: 3

	 WP_024544479.1	[15, 16, 12, 75, 80, 74, 17, 0, 0]

 ### Operon: 4

	 WP_030007129.1	[15, 16, 12, 75, 80, 74, 0, 17, 73]

 ### Operon: 5

	 WP_069967886.1	[0, 0, 71, 75, 80, 78, 79, 70, 59]

 ### Operon: 6

	 WP_168571633.1	[0, 26, 71, 75, 80, 78, 79, 70, 0]

 ### Operon: 7

	 EDX73328.1	[0, 71, 0, 75, 80, 78, 59, 0, 0]

 ### Operon: 8

	 WP_071102121.1	[10000, 71, 0, 75, 80, 78, 59, 70, 0]

 ### Operon: 9

	 ERT09159.1	[0, 71, 0, 75, 80, 78, 79, 70, 72]

 ### Operon: 10

	 WP_019504521.1	[13, 21, 71, 75, 80, 29, 28, 0, 19]

 ### Operon: 11

	 WP_036482472.1	[13, 21, 71, 75, 80, 29, 28, 19, 0]

 ### Operon: 12

	 BAZ39800.1	[62, 61, 71, 75, 80, 77, 78, 60, 0]

 ### Operon: 13

	 WP_144416121.1	[0, 61, 71, 75, 80, 77, 78, 11, 10]

 ### Operon: 14

	 PZO49560.1	[48, 47, 46, 75, 80, 78, 45]
	 PZO08615.1	[48, 47, 46, 75, 80, 78, 45]

 ### Operon: 15

	 WP_106882388.1	[48, 47, 46, 75, 80, 78]

 ### Operon: 16

	 WP_006455717.1	[48, 47, 46, 75, 80, 78, 45, 0, 0]

 ### Operon: 17

	 WP_023071406.1	[48, 47, 46, 75, 80, 78, 45, 22, 27]

 ### Operon: 18

	 WP_121967814.1	[48, 47, 46, 75, 80, 78, 45, 0, 22]

 ### Operon: 19

	 WP_052584896.1	[10000, 75, 80]

 ### Operon: 20

	 WP_084639422.1	[71, 75, 80, 78]

 ### Operon: 21

	 WP_048321220.1	[18, 35, 30, 75, 80]

 ### Operon: 22

	 OKH36044.1	[0, 0, 71, 75, 80, 77, 78, 79, 70]

 ### Operon: 23

	 WP_067774034.1	[0, 0, 71, 75, 80, 77, 78, 79, 70]

 ### Operon: 24

	 WP_082218351.1	[10000, 0, 71, 75, 80, 0, 78, 79, 70]

 ### Operon: 25

	 WP_046281311.1	[75, 80, 10000, 78, 79, 70]

 ### Operon: 26

	 CBN56019.1	[75, 80, 0, 78, 0, 79]

 ### Operon: 27

	 CDM93748.1	[0, 0, 71, 75, 80, 76, 78, 79, 0]

 ### Operon: 28

	 PLS68317.1	[55, 10000, 71, 75, 80, 56, 0, 10000]

 ### Operon: 29

	 RMF21621.1	[0, 0, 71, 75, 80, 42]

 ### Operon: 30

	 TKZ26913.1	[10000, 0, 71, 75, 80, 78, 0, 0, 0]

 ### Operon: 31

	 WP_073607616.1	[48, 47, 46, 75, 80, 78, 7, 8, 0]

 ### Operon: 32

	 WP_080808153.1	[48, 47, 46, 75, 80, 78, 0, 0, 0]

 ### Operon: 33

	 ACL45117.1	[0, 0, 0, 75, 80, 77, 78, 79, 0]

 ### Operon: 34

	 AFY81343.1	[0, 0, 71, 75, 80, 78, 70, 69, 0]

 ### Operon: 35

	 KOR37720.1	[0, 59, 71, 75, 80, 78, 0, 0, 0]

 ### Operon: 36

	 KST67722.1	[0, 61, 71, 75, 80, 78, 79, 0, 0]

 ### Operon: 37

	 OLP20417.1	[57, 0, 71, 75, 80, 77, 78, 58, 0]

 ### Operon: 38

	 OUC15092.1	[0, 56, 71, 75, 80, 77, 78, 73, 0]

 ### Operon: 39

	 PSP15035.1	[52, 0, 71, 75, 80, 0, 53, 54, 0]

 ### Operon: 40

	 PSP17127.1	[0, 50, 71, 75, 80, 53, 54, 51, 0]

 ### Operon: 41

	 PZD71832.1	[49, 73, 71, 75, 80, 78, 0, 0, 0]

 ### Operon: 42

	 RMG07956.1	[0, 0, 0, 75, 80, 78, 0, 10000, 0]

 ### Operon: 43

	 TVQ19912.1	[0, 0, 71, 75, 80, 78, 0, 0, 0]

 ### Operon: 44

	 WP_006528479.1	[0, 0, 71, 75, 80, 0, 0, 10000, 39]

 ### Operon: 45

	 WP_009555277.1	[0, 33, 0, 75, 80, 78, 10000, 0, 0]

 ### Operon: 46

	 WP_013322190.1	[0, 0, 0, 75, 80, 0, 0, 10000, 10000]

 ### Operon: 47

	 WP_015166536.1	[0, 37, 71, 75, 80, 44, 0, 0, 0]

 ### Operon: 48

	 WP_015192774.1	[0, 0, 71, 75, 80, 29, 28, 49, 0]

 ### Operon: 49

	 WP_015200940.1	[72, 61, 71, 75, 80, 78, 27, 0, 70]

 ### Operon: 50

	 WP_015203352.1	[0, 26, 71, 75, 80, 0, 78, 62, 25]

 ### Operon: 51

	 WP_017295263.1	[10000, 0, 14, 75, 80, 0, 0, 0, 0]

 ### Operon: 52

	 WP_019500117.1	[59, 59, 71, 75, 80, 77, 44, 0, 0]

 ### Operon: 53

