
 ### Operon: 1

	 RS16_CHLTR	[0, 0, 0, 9, 11, 8, 7, 6, 0]

 ### Operon: 2

	 RS16_RHOBA	[0, 0, 0, 9, 11, 8, 7, 0, 0]

 ### Operon: 3

	 RS16_MYCGE	[0, 0, 0, 0, 11, 8, 7, 0, 0]

 ### Operon: 4

	 RS16_CHLCH	[0, 0, 0, 9, 11, 5, 8, 7, 0]

 ### Operon: 5

	 RS16_ECOLI	[0, 0, 0, 9, 11, 5, 8, 7, 3]

 ### Operon: 6

	 C9RLH7_FIBSS	[9, 0, 0, 0, 11, 5, 8, 7, 0]

 ### Operon: 7

	 RS16_BORPA	[0, 0, 0, 10000, 11, 5, 8, 0, 0]

 ### Operon: 8

	 RS16_METI4	[0, 0, 0, 9, 11, 0, 8, 7, 6]

 ### Operon: 9

	 RS16_THEYD	[0, 3, 0, 0, 11, 10, 8, 7, 6]

 ### Operon: 10

	 D1B6K6_THEAS	[0, 0, 1, 9, 11, 10, 5, 8, 7]

 ### Operon: 11

	 RS16_CAMJE	[0, 0, 0, 9, 11, 10, 5, 8, 7]

 ### Operon: 12

	 RS16_THET8	[0, 0, 0, 9, 11, 10, 5, 8, 7]

 ### Operon: 13

	 S0EXP8_CHTCT	[0, 0, 2, 9, 11, 10, 5, 8, 7]

 ### Operon: 14

	 RS16_MYXXD	[0, 0, 0, 0, 11, 10, 5, 8, 7]

 ### Operon: 15

	 RS16_THEMA	[0, 0, 0, 9, 11, 10, 5, 8, 0]

 ### Operon: 16

	 RS16_ACIC5	[0, 2, 0, 4, 11, 10, 5, 8, 0]

 ### Operon: 17

	 RS16_BACSU	[9, 0, 1, 9, 11, 10, 0, 5, 8]

 ### Operon: 18

	 RS16_MYCTU	[0, 0, 0, 0, 11, 10, 5, 8, 0]

 ### Operon: 19

	 RS16_STRPN	[0, 0, 0, 0, 11, 10, 0, 5, 8]

 ### Operon: 20

	 RS16_NOSP7	[4, 0, 0, 9, 11, 10, 0, 0, 0]

 ### Operon: 21

	 RS16_AQUAE	[0, 0, 0, 0, 11, 10, 0, 0, 0]

 ### Operon: 22

	 RS16_BARBK	[0, 0, 0, 9, 11, 0, 0, 0, 0]

 ### Operon: 23

	 RS16_PORG3	[0, 0, 0, 0, 11, 0, 0, 0, 0]
