
 ### Operon: 1

	 PCI38739.1	[34, 35, 40, 60, 66, 63, 64, 42, 41]
	 OGS05586.1	[34, 35, 40, 60, 66, 63, 10000, 42, 41]
	 OGR58986.1	[34, 35, 40, 60, 66, 63, 64, 10000, 41]

 ### Operon: 2

	 OGS45708.1	[33, 35, 40, 60, 66, 63, 64, 42, 41]
	 OQA89719.1	[33, 35, 40, 60, 66, 63, 64, 42, 41]

 ### Operon: 3

	 OGY24467.1	[46, 45, 44, 60, 66, 63, 43, 59, 50]
	 OGY31576.1	[46, 45, 44, 60, 66, 63, 43, 59, 50]

 ### Operon: 4

	 KKT84964.1	[46, 45, 44, 60, 66, 63, 0, 59, 50]

 ### Operon: 5

	 KKS90374.1	[46, 45, 44, 60, 66, 43, 0, 50, 0]

 ### Operon: 6

	 PIU69083.1	[46, 45, 44, 60, 66, 43, 59, 50, 0]

 ### Operon: 7

	 WP_041597675.1	[9, 10, 1, 60, 66, 62, 63, 64, 42]

 ### Operon: 8

	 WP_162539957.1	[9, 10, 1, 60, 66, 62, 63, 64, 0]

 ### Operon: 9

	 WP_174306861.1	[9, 10, 1, 60, 66, 62, 63, 64, 0]

 ### Operon: 10

	 WP_028264296.1	[8, 14, 48, 60, 66, 62, 63, 54, 53]
	 WP_097677401.1	[8, 14, 48, 60, 66, 62, 63, 54, 53]

 ### Operon: 11

	 WP_012798236.1	[0, 12, 11, 60, 66, 62, 63, 54, 53]

 ### Operon: 12

	 WP_123208283.1	[0, 12, 11, 60, 66, 62, 63, 54, 53]

 ### Operon: 13

	 WP_036816310.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_053605992.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_020156288.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_049671448.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_113808291.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_069718753.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_121680293.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_039232122.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_148940207.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_059350745.1	[59, 10000, 59, 60, 66, 57, 62, 63, 64]
	 PSL51166.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_003322053.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_076556693.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_033023251.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_116552985.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_155111253.1	[10000, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_066264726.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_099680534.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_097040384.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]
	 WP_165199465.1	[59, 58, 59, 60, 66, 57, 62, 63, 64]

 ### Operon: 14

	 WP_026961723.1	[59, 58, 59, 60, 66, 57, 62, 63]
	 WP_026963946.1	[59, 58, 59, 60, 66, 57, 62, 63]
	 WP_109430894.1	[59, 58, 59, 60, 66, 57, 62, 63]
	 WP_072873835.1	[59, 58, 59, 60, 66, 57, 62, 63]

 ### Operon: 15

	 WP_135346905.1	[59, 58, 59, 60, 66, 62, 63, 64, 31]
	 PWL41573.1	[59, 58, 59, 60, 66, 62, 63, 64, 31]
	 WP_023387859.1	[59, 58, 59, 60, 66, 62, 63, 64, 31]

 ### Operon: 16

	 OUM88402.1	[59, 58, 59, 60, 66, 62, 63, 64, 54]
	 WP_040228095.1	[59, 58, 59, 60, 66, 62, 63, 64, 54]
	 WP_124727619.1	[59, 58, 59, 60, 66, 62, 63, 64, 54]
	 WP_066169962.1	[59, 58, 59, 60, 66, 62, 63, 64, 54]
	 OJF16653.1	[59, 58, 59, 60, 66, 62, 63, 64, 54]
	 WP_088005904.1	[59, 58, 59, 60, 66, 62, 63, 64, 54]
	 WP_131926248.1	[59, 58, 59, 60, 66, 62, 63, 64, 54]

 ### Operon: 17

	 WP_058985486.1	[55, 10000, 59, 60, 66, 62, 63, 54, 53]
	 CDD67297.1	[55, 59, 59, 60, 66, 62, 63, 54, 53]
	 WP_066661777.1	[55, 59, 59, 60, 66, 62, 63, 54, 53]
